b,c,k,A
-24.0,36.0,4,"((0, 0), (2, 1), (3, 2), (6, 5), (6, 7))"
-300.5,926.0,14,"((0, 1), (0, 2), (1, 0), (4, 8), (9, 6))"
-4.0,6.0,2,"((0, 1), (1, 0), (1, 1), (2, 3), (3, 2))"
-48.0,56.0,8,"((0, 0), (0, 2), (2, 1), (3, 2), (12, 5))"
-48.0,86.0,5,"((0, 0), (1, 0), (1, 5), (2, 1), (4, 5))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 1), (2, 0), (4, 3))"
2.5,1.0,1,"((0, 0), (0, 1), (1, 0), (2, 0), (3, 0))"
-4.0,6.0,2,"((0, 1), (1, 0), (1, 1), (1, 4), (2, 4))"
1.5,1.0,1,"((0, 1), (1, 0), (1, 1), (2, 0), (2, 2))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (1, 4))"
-14.5,19.0,3,"((0, 1), (1, 0), (1, 1), (2, 4), (3, 0))"
-114.0,279.0,7,"((0, 0), (1, 1), (2, 1), (4, 7), (8, 7))"
-34.5,55.0,4,"((0, 0), (0, 1), (1, 1), (3, 4), (4, 0))"
-10.5,1.0,5,"((0, 0), (0, 6), (1, 0), (1, 3), (2, 1))"
-34.0,43.0,6,"((0, 0), (1, 1), (2, 1), (5, 6), (7, 5))"
-18.0,31.0,4,"((0, 0), (0, 1), (1, 0), (2, 0), (4, 4))"
-16.0,20.0,3,"((0, 0), (0, 1), (1, 0), (2, 3), (4, 0))"
-6.5,9.0,2,"((0, 1), (1, 0), (1, 1), (4, 2), (4, 3))"
-750.0,3475.0,15,"((0, 0), (2, 1), (2, 10), (3, 2), (11, 4))"
-4.5,6.0,2,"((0, 1), (1, 0), (1, 1), (2, 2), (4, 0))"
-30.0,45.0,4,"((0, 1), (0, 4), (1, 0), (1, 1), (4, 3))"
-280.0,952.0,11,"((0, 0), (1, 0), (2, 1), (7, 0), (9, 8))"
-5.0,4.0,3,"((0, 0), (0, 1), (1, 0), (1, 3), (3, 2))"
-0.5,2.0,1,"((0, 0), (1, 1), (2, 1), (5, 2), (9, 4))"
-30.0,45.0,4,"((0, 1), (1, 0), (1, 1), (3, 4), (4, 0))"
0.5,0.0,2,"((0, 0), (0, 1), (1, 0), (1, 2), (3, 1))"
-30.0,45.0,4,"((0, 0), (0, 3), (1, 1), (2, 1), (5, 4))"
-64.5,132.0,6,"((0, 1), (0, 2), (1, 0), (2, 4), (7, 6))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (4, 1), (4, 3))"
-3.0,3.0,3,"((0, 1), (1, 0), (1, 1), (3, 3), (4, 3))"
2.0,1.0,1,"((0, 0), (0, 1), (0, 2), (0, 4), (1, 1))"
-13.5,17.0,3,"((0, 0), (0, 1), (1, 1), (3, 0), (4, 3))"
-486.0,2051.0,13,"((0, 0), (2, 1), (3, 2), (9, 8), (14, 4))"
-12.0,16.0,3,"((0, 0), (0, 1), (0, 4), (1, 1), (3, 1))"
3.0,0.0,1,"((0, 0), (1, 0), (1, 1), (2, 1), (4, 3))"
-13.5,17.0,3,"((0, 0), (0, 1), (1, 1), (1, 4), (3, 0))"
-44.5,38.0,9,"((0, 0), (2, 1), (3, 2), (10, 3), (14, 3))"
-396.0,1606.0,13,"((0, 0), (3, 2), (3, 3), (5, 3), (8, 18))"
-18.0,31.0,4,"((0, 0), (0, 1), (0, 2), (1, 0), (4, 4))"
-102.0,289.0,8,"((0, 1), (0, 2), (0, 4), (1, 0), (7, 1))"
-30.0,45.0,4,"((0, 0), (0, 4), (1, 0), (1, 1), (4, 2))"
-28.0,56.0,5,"((0, 0), (2, 1), (3, 2), (4, 3), (6, 1))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 0), (2, 2), (3, 4))"
-2.5,1.0,3,"((0, 0), (0, 1), (1, 0), (1, 2), (4, 0))"
-60.0,122.0,6,"((0, 0), (2, 1), (3, 2), (4, 0), (4, 6))"
-2.0,3.0,1,"((0, 0), (0, 1), (1, 1), (2, 4), (3, 3))"
-86.5,151.0,10,"((0, 0), (1, 1), (2, 1), (7, 5), (7, 9))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 0), (4, 0))"
-118.5,317.0,8,"((0, 0), (1, 0), (2, 1), (4, 9), (5, 4))"
-2.5,1.0,3,"((0, 0), (0, 1), (1, 0), (2, 1), (4, 4))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 1), (1, 3), (4, 3))"
-196.5,588.0,11,"((0, 0), (1, 0), (2, 1), (2, 6), (8, 3))"
-19.5,26.0,3,"((0, 0), (1, 1), (2, 1), (2, 3), (3, 9))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (3, 1))"
2.0,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 1), (2, 2))"
-14.5,19.0,3,"((0, 0), (0, 1), (1, 0), (1, 4), (3, 2))"
-13.5,21.0,3,"((0, 0), (0, 1), (0, 2), (1, 0), (4, 3))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (2, 0), (2, 3))"
-19.5,26.0,3,"((0, 1), (1, 0), (1, 1), (4, 0), (4, 3))"
-280.0,952.0,11,"((0, 0), (1, 0), (2, 1), (8, 7), (9, 1))"
-1.0,-38.0,7,"((0, 0), (1, 1), (2, 1), (3, 6), (3, 7))"
-0.5,2.0,1,"((0, 0), (0, 4), (1, 0), (1, 1), (1, 3))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 1), (4, 3), (4, 4))"
-12.0,16.0,3,"((0, 0), (0, 2), (1, 0), (1, 1), (4, 4))"
-10.0,15.0,3,"((0, 0), (1, 1), (2, 1), (3, 1), (8, 5))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 0), (3, 0), (4, 0))"
0.0,2.0,1,"((0, 0), (0, 1), (0, 3), (1, 1), (2, 2))"
-280.0,952.0,11,"((0, 0), (1, 1), (2, 1), (7, 7), (8, 0))"
-18.0,25.0,3,"((0, 0), (0, 1), (1, 1), (2, 3), (4, 0))"
-9164.5,112418.0,43,"((0, 0), (2, 23), (3, 2), (5, 3), (20, 19))"
0.0,-9.0,4,"((0, 0), (1, 1), (2, 1), (8, 6), (9, 7))"
-4.5,6.0,2,"((0, 1), (0, 4), (1, 0), (1, 1), (2, 2))"
-24.0,36.0,4,"((0, 0), (1, 0), (1, 1), (1, 4), (4, 0))"
-0.5,2.0,1,"((0, 1), (1, 0), (1, 1), (2, 2), (4, 4))"
2.0,-1.0,2,"((0, 0), (0, 1), (0, 4), (1, 1), (1, 3))"
-895.5,6275.0,25,"((0, 0), (2, 1), (3, 2), (8, 14), (9, 5))"
-100.0,230.0,7,"((0, 0), (1, 1), (2, 1), (2, 5), (8, 9))"
-4.5,6.0,2,"((0, 0), (1, 0), (2, 1), (3, 0), (3, 3))"
-0.5,2.0,1,"((0, 0), (0, 1), (1, 0), (2, 1), (4, 3))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (3, 3), (3, 4))"
-509.5,2105.0,16,"((0, 0), (2, 1), (3, 2), (4, 9), (13, 13))"
-394.5,1689.0,13,"((0, 0), (1, 1), (2, 1), (3, 9), (8, 3))"
-24.0,36.0,4,"((0, 1), (1, 0), (1, 1), (1, 4), (4, 4))"
-0.5,2.0,1,"((0, 0), (1, 0), (1, 1), (3, 0), (3, 2))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (2, 3), (4, 2))"
-18.0,25.0,3,"((0, 0), (2, 1), (3, 2), (7, 6), (9, 9))"
-48.0,86.0,5,"((0, 1), (0, 2), (1, 0), (2, 4), (5, 1))"
-24.0,36.0,4,"((0, 0), (0, 1), (0, 4), (1, 1), (4, 3))"
0.5,-3.0,3,"((0, 1), (0, 2), (1, 0), (1, 1), (2, 4))"
-12.0,-33.0,9,"((0, 0), (1, 0), (2, 1), (2, 6), (3, 8))"
-0.5,2.0,1,"((0, 1), (0, 3), (1, 0), (1, 1), (2, 2))"
-140.0,390.0,10,"((0, 0), (1, 0), (2, 1), (2, 6), (7, 8))"
-126.5,281.0,10,"((0, 0), (2, 1), (3, 2), (4, 4), (6, 14))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (1, 3), (4, 4))"
-10.0,15.0,3,"((0, 0), (1, 1), (2, 1), (3, 1), (6, 5))"
-973.0,5034.0,19,"((0, 0), (2, 1), (2, 14), (3, 2), (9, 9))"
2.0,1.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (2, 2))"
-40.0,92.0,6,"((0, 0), (0, 1), (0, 8), (1, 1), (2, 1))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (4, 1), (4, 3))"
-4.0,6.0,2,"((0, 1), (1, 0), (1, 1), (1, 2), (4, 1))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (3, 0), (4, 1))"
-6.0,7.0,2,"((0, 0), (1, 0), (2, 1), (4, 0), (8, 1))"
-26.5,39.0,4,"((0, 0), (0, 1), (1, 0), (1, 4), (4, 0))"
-18.0,25.0,3,"((0, 0), (0, 4), (1, 0), (1, 1), (3, 2))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 0), (1, 3), (3, 3))"
-918.0,4583.0,20,"((0, 0), (2, 1), (3, 2), (8, 10), (13, 2))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (3, 0))"
-18.0,25.0,3,"((0, 0), (0, 1), (1, 0), (4, 2), (4, 4))"
-1828.5,12390.0,22,"((0, 0), (2, 1), (3, 2), (3, 13), (13, 0))"
1.0,0.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (4, 2))"
-184.5,522.0,9,"((0, 0), (2, 1), (2, 5), (3, 2), (11, 5))"
-54.5,77.0,8,"((0, 1), (0, 2), (1, 0), (3, 0), (7, 4))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 1), (3, 1), (4, 1))"
-24.0,36.0,4,"((0, 0), (1, 0), (1, 1), (1, 4), (4, 3))"
2.0,1.0,1,"((0, 1), (1, 0), (1, 1), (2, 1), (3, 0))"
-16.0,20.0,3,"((0, 1), (1, 0), (1, 1), (3, 3), (4, 0))"
-1294.0,7501.0,23,"((0, 0), (2, 1), (3, 2), (8, 11), (14, 2))"
-6.0,7.0,2,"((0, 0), (0, 1), (0, 4), (1, 0), (2, 2))"
-97.5,331.0,9,"((0, 1), (0, 2), (0, 3), (1, 0), (6, 6))"
-24.0,36.0,4,"((0, 0), (1, 0), (1, 1), (2, 4), (4, 0))"
-1.5,3.0,1,"((0, 0), (0, 3), (1, 0), (1, 1), (2, 1))"
-18.0,31.0,4,"((0, 0), (0, 3), (0, 6), (1, 1), (2, 1))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 1), (1, 3), (2, 4))"
-14.5,19.0,3,"((0, 1), (1, 0), (1, 1), (2, 4), (4, 4))"
-226.0,701.0,10,"((0, 0), (1, 0), (2, 1), (5, 6), (9, 1))"
